subject,content,from,to,label
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
URGENT: Verify Your Account Immediately!,"Dear Customer, Your account has been suspended. Click here to verify: http://bit.ly/suspicious-link. Act now or your account will be deleted!",support@suspicious-domain.com,user@email.com,1
You Won a Prize! Claim Now!,Congratulations! You have won $1000. Click below to claim your prize: http://tinyurl.com/fake-prize. Limited time offer!,noreply@fake-lottery.com,user@email.com,1
Password Reset Required,We detected unusual activity on your account. Please verify your identity by clicking here: http://192.168.1.1/fake-login. Your password will expire in 24 hours!,security@phishing-site.com,user@email.com,1
Update Your Payment Information,"Your payment method expired. Update now: <a href=""http://fake-payment-site.com"">Click Here</a>. Your account will be locked if not updated immediately!",billing@scam-service.com,user@email.com,1
Urgent: Account Verification Needed,Your account requires immediate verification. Please confirm your details at: http://bit.ly/verify-now. Failure to verify will result in account suspension.,admin@suspicious-service.com,user@email.com,1
